# Ukrainian word predictions v1.0
# Format: trigger<TAB>sugg1<TAB>sugg2<TAB>sugg3
# Empty trigger = default / sentence-start suggestions

	Я	Це	Привіт
я	маю	хочу	думаю
Я	маю	хочу	думаю
це	є	було	може
Це	є	було	може
він	є	був	буде
Він	є	був	буде
вона	є	була	буде
Вона	є	була	буде
ми	маємо	можемо	будемо
Ми	маємо	можемо	будемо
ти	маєш	можеш	хочеш
Ти	маєш	можеш	хочеш
вони	мають	можуть	хочуть
Вони	мають	можуть	хочуть
і	я	він	вона
І	я	він	вона
але	я	він	це
Але	я	він	це
що	це	він	вона
Що	це	він	вона
як	ти	він	це
Як	ти	він	це
де	ти	він	це
Де	ти	він	це
коли	ти	він	це
Коли	ти	він	це
чому	ти	він	це
Чому	ти	він	це
не	можу	маю	знаю
Не	можу	маю	знаю
так	само	і	чи
Так	само	і	чи
ні	але	я	це
Ні	але	я	це
дуже	добре	дякую	важливо
Дуже	добре	дякую	важливо
дякую	за	вам	тобі
Дякую	за	вам	тобі
добре	що	але	я
Добре	що	але	я
гаразд	я	все	добре
Гаразд	я	все	добре
привіт	як	всім	всі
Привіт	як	всім	всі
вибач	мені	за	будь
Вибач	мені	за	будь
будь	ласка	хто	що
Будь	ласка	хто	що
ласка	допоможи	скажи	надішли
можу	тобі	це	допомогти
можеш	мені	це	допомогти
хочу	сказати	знати	запитати
хочеш	сказати	знати	запитати
маю	питання	ідею	час
маєш	час	питання	ідею
знаю	що	як	де
знаєш	що	як	де
думаю	що	так	це
думаєш	що	так	це
потрібно	мені	нам	тобі
треба	мені	нам	тобі
зараз	я	ми	це
тут	є	я	ми
там	є	він	вона
все	добре	ще	було
всі	знають	хочуть	мають
мій	друг	телефон	час
моя	ідея	думка	відповідь
моє	питання	рішення	місце
мій	варіант	підхід	план
твій	друг	телефон	час
твоя	ідея	думка	відповідь
наш	проєкт	план	час
наша	команда	ідея	мета
їхній	проєкт	план	час
цей	варіант	підхід	план
ця	ідея	думка	відповідь
цього	не	ще	вже
вже	є	був	зробив
ще	не	є	треба
також	є	маємо	можемо
тому	що	я	ми
через	це	те	мене
після	цього	того	чого
перед	цим	тим	ним
між	нами	вами	ними
разом	з	ми	це
дуже	добре	важливо	цікаво
просто	зроби	скажи	напиши
саме	так	це	те
навіть	не	якщо	коли
якщо	ти	він	це
поки	що	ти	він
вже	зробив	є	було
ніколи	не	ти	він
завжди	так	буде	є
іноді	так	буває	треба
часто	буває	так	ти
рідко	буває	так	ти
скоро	буде	побачимось	зроблю
потім	я	ми	він
раніше	я	ми	він
тепер	я	ми	він
сьогодні	я	ми	він
завтра	я	ми	він
вчора	я	ми	він
добре	зроблено	сказано	придумано
