# Clavi emoji list v1.0
# Format: emoji<TAB>keywords (space-separated, English + Ukrainian)
# ~300 most popular emoji, ordered by popularity within each section

# ── Smileys & Emotion ──
😀	happy smile grinning радість посмішка
😃	happy smile open mouth радість
😄	happy smile laugh радість сміх
😁	grin beaming smile
😆	laughing funny haha сміх
😅	sweat nervous smile
😂	laugh cry joy lol funny сміх плач
🤣	rofl rolling laugh funny хаха
😊	smile blush happy щастя
😇	angel halo innocent
🙂	slightly smile neutral
🙃	upside down smile
😉	wink flirt підморгнути
😌	relieved content задоволений
😍	heart eyes love love закохати
🥰	hearts love smiling
😘	kiss blow поцілунок
😗	kiss поцілунок
😙	kiss smile поцілунок
😚	kiss closed eyes поцілунок
😋	yum delicious yummy смачно
😛	tongue out playful
😜	wink tongue playful
🤪	crazy zany silly
😝	tongue closed eyes
🤑	money face dollar гроші
🤗	hugging hug обійми
🤭	oops hand over mouth
🤫	shh quiet silence тихо
🤔	thinking hmm думати роздуми
🤐	zip mouth silent
🤨	raised eyebrow skeptical
😐	neutral expressionless нейтральний
😑	expressionless blank
😶	no mouth silent
😏	smirk wily
😒	unamused disappointed незадоволений
🙄	eye roll сарказм
😬	grimace nervous
😮	open mouth surprise здивування
😯	hushed surprise
😲	astonished shocked шок здивування
😳	flushed embarrassed
🥺	pleading eyes cute прохання
😦	frowning open mouth
😧	anguished sad
😨	fearful scared страх
😰	cold sweat anxiety
😥	disappointed sad сум
😢	cry sad tears сум плач
😭	sob cry loud tears ридати плакати
😱	scream fear shock страх
😖	confounded frustrated
😣	persevering struggling
😞	disappointed sad сум
😓	downcast sweat
😩	weary tired втома
😫	tired exhausted
🥱	yawn sleepy tired зівання
😤	steam nose triumph фыркнути
😡	angry rage злий
😠	angry злий
🤬	swearing cursing
😈	devil evil smile
👿	angry devil
💀	skull death смерть череп
☠️	skull crossbones
💩	poop pile poo
🤡	clown face
👹	ogre monster
👺	goblin red monster
👻	ghost boo привид
👽	alien extraterrestrial
👾	alien monster game
🤖	robot face робот
😺	smiling cat
😸	grinning cat
😻	heart eyes cat
😼	smirking cat
😽	kissing cat
🙀	weary cat
😿	crying cat
😾	pouting cat

# ── Gestures & Body ──
👋	wave hello goodbye привіт
🤚	raised back hand stop
🖐️	hand spread fingers
✋	raised hand stop
🖖	vulcan salute spock
👌	ok fine perfect
🤌	pinched fingers chef's kiss
🤏	pinching hand small
✌️	peace victory мир
🤞	fingers crossed luck удача
🤟	love you ily
🤘	rock on metal horns
🤙	call me hang loose
👈	pointing left ліворуч
👉	pointing right праворуч
👆	pointing up вгору
👇	pointing down вниз
☝️	index pointing up один
👍	thumbs up like добре підтримка
👎	thumbs down dislike погано
✊	raised fist power
👊	oncoming fist punch
🤛	left fist bump
🤜	right fist bump
👏	clapping hands applause оплески
🙌	raising hands celebration
🤲	open hands prayer
🙏	folded hands please thanks будь ласка дякую
✍️	writing hand
💅	nail polish manicure
🤳	selfie photo
💪	flexed biceps strong strong сила
🦾	mechanical arm
🖕	middle finger
🦵	leg kick
🦶	foot sole
👂	ear listen
🦻	ear hearing aid
👃	nose smell
🫀	heart organ
🫁	lungs breathing
🧠	brain smart розум
🦷	tooth dental
🦴	bone
👀	eyes look дивитись
👁️	eye look
👅	tongue taste
👄	mouth lips

# ── Hearts & Symbols ──
❤️	red heart love love любов кохання
🧡	orange heart
💛	yellow heart
💚	green heart
💙	blue heart
💜	purple heart
🖤	black heart
🤍	white heart
🤎	brown heart
💔	broken heart
❣️	heart exclamation
💕	two hearts
💞	revolving hearts
💓	beating heart
💗	growing heart
💖	sparkling heart
💘	heart arrow love love
💝	heart ribbon
💟	heart decoration
☮️	peace symbol
✝️	cross
☯️	yin yang
🔥	fire hot flame вогонь
✨	sparkles stars зірки
💫	dizzy star
⭐	star зірка
🌟	glowing star
💥	boom explosion
💢	anger
💬	speech bubble говорити
💭	thought bubble думати
💤	zzz sleep сон
🎵	musical note музика
🎶	musical notes музика
💯	100 perfect hundred відмінно

# ── Nature & Animals ──
🐶	dog face собака
🐱	cat face кіт
🐭	mouse face мишка
🐹	hamster
🐰	rabbit face зайчик
🦊	fox face лисиця
🐻	bear face ведмідь
🐼	panda face панда
🐨	koala
🐯	tiger face тигр
🦁	lion face лев
🐮	cow face корова
🐷	pig face свиня
