# English word predictions v1.0
# Format: trigger<TAB>sugg1<TAB>sugg2<TAB>sugg3
# Empty trigger = default / sentence-start suggestions

	I	The	It
I	think	have	want
i	think	have	want
the	best	most	first
The	best	most	first
a	new	great	good
A	new	great	good
it	is	was	will
It	is	was	will
this	is	was	will
This	is	was	will
that	is	was	the
That	is	was	the
we	can	will	have
We	can	will	have
you	can	need	have
You	can	need	have
he	is	was	will
He	is	was	will
she	is	was	will
She	is	was	will
they	are	were	will
They	are	were	will
to	be	do	get
is	a	the	not
are	you	not	very
was	a	the	not
were	not	very	just
have	a	been	to
has	been	a	the
had	a	the	been
will	be	have	not
can	be	do	help
could	be	have	do
would	be	have	like
should	be	have	do
must	be	have	do
not	the	a	just
no	way	problem	doubt
yes	of	indeed	sure
and	the	a	it
but	the	I	it
or	the	a	just
so	I	we	much
as	a	the	well
in	the	a	this
on	the	a	this
at	the	a	this
by	the	a	using
of	the	a	this
for	the	a	you
with	the	a	you
from	the	a	my
what	you	I	we
What	you	I	we
how	do	can	to
How	do	can	to
when	you	I	we
When	you	I	we
why	do	is	are
Why	do	is	are
where	do	is	are
Where	do	is	are
if	you	I	we
If	you	I	we
my	name	email	phone
My	name	email	phone
your	email	name	phone
Your	email	name	phone
our	team	goal	next
Our	team	goal	next
their	team	goal	next
Their	team	goal	next
its	a	the	not
Its	a	the	not
more	than	of	about
less	than	of	about
very	good	well	much
really	good	well	much
just	a	the	want
only	a	the	one
also	a	the	need
still	a	the	not
well	done	said	played
here	is	are	you
there	is	are	you
now	I	we	you
then	I	we	you
today	I	we	you
tomorrow	I	we	you
some	of	people	time
all	of	the	right
many	of	people	times
few	of	people	times
most	of	the	people
each	of	the	other
every	time	day	person
one	of	the	more
two	of	the	more
three	of	the	more
first	time	step	thing
last	time	year	week
next	time	step	week
good	morning	idea	luck
great	job	idea	work
new	way	idea	thing
best	way	idea	option
hi	there	everyone	all
Hi	there	everyone	all
hello	everyone	there	world
Hello	everyone	there	world
thanks	for	a	so
thank	you	god	goodness
Thank	you	god	goodness
ok	I	sure	sounds
OK	I	sure	sounds
sure	I	thing	sounds
let	me	us	it
Let	me	us	it
please	let	help	send
Please	let	help	send
sorry	for	I	about
Sorry	for	I	about
ok	sounds	sure	works
need	to	a	help
want	to	a	you
going	to	be	get
get	a	the	to
make	a	the	it
take	a	the	it
come	to	back	on
go	to	back	on
see	you	the	what
know	what	how	that
think	that	I	we
say	that	I	we
tell	me	you	us
ask	me	you	us
use	the	a	it
give	me	you	us
find	the	a	out
help	me	you	us
try	to	a	it
work	on	with	for
talk	to	about	with
look	at	for	good
feel	like	good	great
love	it	you	that
like	it	you	that
show	me	you	us
check	the	it	out
wait	for	a	I
call	me	you	the
send	me	you	the
read	the	a	it
write	the	a	it
pay	for	the	a
put	the	a	it
run	the	a	it
open	the	a	it
close	the	a	it
start	the	a	it
stop	the	a	it
add	the	a	it
remove	the	a	it
update	the	a	it
change	the	a	it
set	the	a	it
save	the	a	it
delete	the	a	it
create	the	a	new
edit	the	a	it
copy	the	a	it
move	the	a	it
upload	the	a	it
download	the	a	it
share	the	a	it
search	for	the	it
filter	the	a	by
sort	by	the	a
